"North" "South" "Total"
"581" 10.2 10.1 20.3
"582" 16 21.6 37.6
"583" 16.8 7.2 24.1
"584" 22.9 11.1 34
"585" 45.2 9.4 54.7
"586" 42 14.2 56.1
"587" 27.4 10.1 37.4
"588" 22.9 25.5 48.5
"589" 32.4 27.2 59.6
"590" 76.3 31.4 107.7
"591" 53.8 35.1 88.9
"592" 83.2 44.7 127.9
"593" 69.1 38.8 107.9
"594" 73.2 33.7 106.8
"595" 57.2 28.4 85.6
"596" 37.3 37.3 74.6
"597" 94.7 73.8 168.5
"598" 76.7 74.9 151.6
"599" 44.8 67.9 112.7
"600" 56.1 92.6 148.7
"601" 93 112.7 205.6
"602" 98.1 81.5 179.6
"603" 84.3 81.7 166
"604" 60.7 46.3 106.9
"605" 91.4 64.1 155.6
"606" 92.7 59.7 152.3
"607" 109.1 61.3 170.4
"608" 78.6 58.1 136.7
"609" 134 56.2 190.2
"610" 137.5 72.2 209.7
"611" 104.5 104.9 209.4
"612" 58.4 125.2 183.6
"613" 76.8 75.1 151.8
"614" 71.6 70.2 141.8
"615" 58.9 62.3 121.1
"616" 64.1 71.6 135.6
"617" 52.3 135.5 187.9
"618" 64.2 107.4 171.6
"619" 69.6 100.8 170.5
"620" 92.9 67.8 160.8
"621" 92.8 68 160.8
"622" 93.2 79.4 172.6
"623" 114.4 63.2 177.6
"624" 97.3 85.6 182.9
"625" 75.2 66.5 141.7
"626" 87.3 74.5 161.8
"627" 96 68.5 164.5
"628" 150 43.9 193.9
"629" 123.4 48.5 171.9
"630" 56.7 50.9 107.6
"631" 73.4 109.2 182.5
"632" 74.7 120.5 195.2
"633" 104.2 96.6 200.8
"634" 59.3 106.1 165.4
"635" 73.1 85.1 158.2
"636" 80.5 79.7 160.3
"637" 55.2 74.1 129.2
"638" 75.3 101.4 176.7
"639" 81.2 94.8 176
"640" 82.3 65.1 147.4
"641" 36.2 63.2 99.4
"642" 84.1 64.9 149
"643" 62.6 51.7 114.4
"644" 92.5 65.6 158.2
"645" 77 75.1 152
"646" 64.1 61.1 125.2
"647" 38.7 73.3 112
"648" 53.2 89.7 142.9
"649" 34.2 68.3 102.5
"650" 15.8 54 69.9
"651" 10.2 77.4 87.7
"652" 17.5 77.4 94.9
"653" 26.3 87.5 113.8
"654" 32.1 83 115.1
"655" 29.4 75.3 104.6
"656" 19.8 87.3 107.1
"657" 21.8 45.3 67.1
"658" 29.3 28.9 58.2
"659" 6.2 27.2 33.5
"660" 19 28.4 47.4
"661" 34 43.3 77.3
"662" 39.6 59.4 99
"663" 32 73.7 105.6
"664" 20 64.1 84.2
"665" 18.3 75.3 93.6
"666" 19.3 38.6 57.8
"667" 22.1 36.9 59
"668" 15.8 17.2 33
"669" 8.7 13.8 22.5
"670" 7 1.6 8.6
"671" 6.5 14.3 20.8
"672" 7.1 14.9 22
"673" 2.5 15 17.5
"674" 10.8 8.1 18.9
"675" 7.8 5.6 13.3
"676" 16.1 6.6 22.7
"677" 16.5 14.6 31.1
"678" 2.6 24.6 27.2
"679" 8.6 24.3 32.9
"680" 7.7 5.5 13.2
"681" 0.5 3.8 4.2
"682" 22 1.8 23.8
"683" 5.6 11.7 17.3
"684" 6.8 5.8 12.5
"685" 0.2 1.4 1.7
"686" 0.8 18.5 19.2
"687" 3.1 10.2 13.2
"688" 11.7 4.8 16.4
"689" 9.9 2.1 11.9
"690" 0.5 0.4 0.9
"691" 7.5 3 10.5
"692" 5.4 0.9 6.2
"693" 3.5 0 3.5
"694" 19 10 29
"695" 7.5 3.7 11.2
"696" 1.5 2.7 4.2
"697" 2.7 3.5 6.2
"698" 1.7 0.6 2.3
"699" 8.1 2.9 11
"700" 9 22.9 31.9
"701" 13.5 13.8 27.3
"702" 9.7 5.2 14.9
"703" 9.7 25.7 35.4
"704" 8.5 25.5 34
"705" 6.4 24.1 30.5
"706" 27.8 22.9 50.7
"707" 8.1 34.9 43
"708" 2.3 23 25.3
"709" 13.8 34.5 48.2
"710" 23.1 10.3 33.4
"711" 31.6 26.3 57.9
"712" 44.5 36.9 81.4
"713" 19.6 38.6 58.2
"714" 48.6 46.1 94.8
"715" 61.4 46.2 107.6
"716" 75.8 34.8 110.5
"717" 60 59.2 119.2
"718" 72.6 42.2 114.9
"719" 72.9 36.8 109.7
"720" 102.1 66.4 168.4
"721" 71.1 75.6 146.7
"722" 74.7 67 141.7
"723" 75.8 55.2 131
"724" 59.3 73 132.3
"725" 67.7 74.8 142.5
"726" 84.9 113.9 198.8
"727" 66.3 70.7 137.1
"728" 102.3 92.1 194.4
"729" 108.7 68.4 177.1
"730" 71.1 81 152
"731" 112.1 61 173.1
"732" 82.4 70 152.4
"733" 63.8 99.9 163.7
"734" 65.7 62.4 128.1
"735" 56.1 98.6 154.7
"736" 80.6 75.7 156.3
"737" 75 74.9 149.9
"738" 64.7 59.5 124.2
"739" 78.4 74.6 153
"740" 106.7 107.2 213.9
"741" 62.8 70.6 133.4
"742" 88 111.6 199.6
"743" 74.7 87.4 162.1
"744" 77.6 68.7 146.3
"745" 55.5 107.5 163
"746" 57 145.3 202.3
"747" 37.3 120 157.3
"748" 70.4 102.4 172.8
"749" 65.6 77.4 142.9
"750" 105 97.9 203
"751" 112.6 95.6 208.2
"752" 89.4 131.6 221
"753" 53.7 103.8 157.5
"754" 61.9 104.1 166
"755" 45.3 84.8 130.1
"756" 43.7 115 158.7
"757" 39.5 92 131.6
"758" 68.4 105 173.4
"759" 41.2 72 113.2
"760" 30.2 78.8 109
"761" 25 44.2 69.2
"762" 42.1 22.4 64.5
"763" 41 40.8 81.8
"764" 37.5 30 67.5
"765" 28.1 48.7 76.8
"766" 47.7 72 119.7
"767" 22.4 70 92.4
"768" 21.5 66.8 88.4
"769" 11.1 42.2 53.3
"770" 43.3 41 84.3
"771" 42.1 35.2 77.3
"772" 22.2 39.5 61.8
"773" 41.9 16.4 58.2
"774" 24.8 19.6 44.4
"775" 26 37.7 63.7
"776" 28.5 20 48.5
"777" 13.2 12.2 25.4
"778" 18 30.5 48.6
"779" 21.9 9.8 31.7
"780" 29.3 17 46.2
"781" 41.8 19.1 60.9
"782" 25.7 11.2 36.9
"783" 9.9 21.2 31.1
"784" 11.6 4.5 16.1
"785" 13.2 3.7 16.9
"786" 11.4 13.5 24.8
"787" 13.5 19.8 33.3
"788" 7.8 16.6 24.4
"789" 11.4 23 34.4
"790" 24.6 21.6 46.2
"791" 6 12.3 18.3
"792" 5 16.8 21.8
"793" 7.8 16.1 23.9
"794" 9.1 21.7 30.8
"795" 4.2 26.2 30.4
"796" 4.5 13 17.5
"797" 4.9 8 12.9
"798" 8.6 2.3 10.9
"799" 8.8 3.1 12
"800" 9.4 3.3 12.7
"801" 9.5 1.4 11
"802" 18.3 1.5 19.8
"803" 2.6 5.7 8.3
"804" 2.7 4.9 7.5
"805" 9.6 0.5 10
"806" 3.5 0.5 4
"807" 3.4 3.4 6.8
"808" 2.2 1.6 3.8
"809" 0.3 4 4.3
"810" 9.4 0 9.4
"811" 1 5.3 6.3
"812" 7.2 6.2 13.4
"813" 0.4 2.6 3
"814" 0.3 0.7 1
"815" 6.2 13.5 19.7
"816" 4.4 5.8 10.2
"817" 1.3 3.1 4.4
"818" 4.4 2.7 7.2
"819" 3.6 2.5 6.2
"820" 4.5 10 14.5
"821" 11.1 4.4 15.5
"822" 7.9 4.6 12.5
"823" 5.8 2.3 8.1
"824" 15.2 6 21.2
"825" 21 16.9 37.9
"826" 15.7 5.4 21.1
"827" 21.2 13.7 34.9
"828" 24.2 11.4 35.6
"829" 12.7 18.5 31.2
"830" 6.7 23.5 30.2
"831" 9.7 41.3 51.1
"832" 9.4 50.1 59.4
"833" 19.4 25.9 45.3
"834" 29.8 34 63.8
"835" 38 44.4 82.4
"836" 52 41.5 93.5
"837" 50.1 42 92.1
"838" 35.4 18.9 54.2
"839" 36.2 36.8 73
"840" 43.4 33.3 76.7
"841" 34.2 19.3 53.5
"842" 42.3 29 71.3
"843" 46.8 26.8 73.6
"844" 31.1 39.7 70.8
"845" 61.8 46.6 108.4
"846" 77.9 57.5 135.4
"847" 62.3 48.7 111
"848" 37.5 38.8 76.3
"849" 48.4 26.5 74.9
"850" 69.4 46.5 115.9
"851" 70.5 55.8 126.3
"852" 43.8 35.6 79.4
"853" 37.62 45.48 83.1
"854" 49.2 67.88 117.08
"855" 51.94 72.94 124.89
"856" 55.69 57.88 113.56
"857" 45.29 44.94 90.24
"858" 61 46.45 107.45
"859" 88.93 78.07 167
"860" 65.36 59.18 124.55
"861" 61.33 46.83 108.17
"862" NA NA NA
"863" NA NA NA
"864" 46 25.4 71.4
"865" 54.73 32.73 87.47
"866" 38.22 42.06 80.28
"867" 38.65 36.24 74.88
"868" 54.78 52.67 107.44
"869" 54.18 28.12 82.29
"870" 58.6 30.8 89.4
"871" 45.73 42 87.82
"872" 48.25 60.08 108.33
"873" 87.23 63.62 150.85
"874" 75.38 58.69 134.06
"875" 58.48 47.83 106.3
"876" 63.5 61.64 125.14
"877" 48.19 70.27 118.46
"878" 48.9 55.62 104.52
"879" 27.23 57.23 84.45
"880" 73 50.06 123.06
"881" 72.1 64 136.1
"882" 46.38 79.46 125.85
"883" 38.33 59.14 97.48
"884" 37.04 68.78 105.83
"885" 54.62 93.15 147.77
"886" 61.33 45.52 106.86
"887" 39.89 53.28 93.17
"888" 32.85 43.35 76.2
"889" 21.52 68.24 89.76
"890" 17.56 34.22 51.78
"891" 38.1 34.8 72.9
"892" 26.71 34.86 61.57
"893" 22.45 46 68.45
"894" 45.8 25.4 71.2
"895" 47.75 13 60.75
"896" 31.5 44.79 76.29
"897" 18.59 35.59 54.18
"898" 27.05 46.53 73.58
"899" 21.64 23.55 45.18
"900" 29.79 24.54 54.33
"901" 12.77 22.88 35.65
"902" 17.84 32.04 49.88
"903" 13.17 32.72 45.89
"904" 7.5 30.88 38.38
"905" 6.86 38.93 45.79
"906" 12.67 37.07 49.73
"907" 32.08 28 60.08
"908" 22.53 29.47 52
"909" 16.44 24.81 41.25
"910" 26.91 40.73 67.64
"911" 20.71 27.57 48.29
"912" 7.05 16.23 23.27
"913" 15.17 22.21 37.38
"914" 5.56 27.78 33.33
"915" 9.35 18 27.35
"916" 8.86 19.52 28.38
"917" 8.74 27.47 36.21
"918" 9.88 22.38 32.25
"919" 23.31 12.62 35.92
"920" 21.48 19.24 40.71
"921" 6.61 23.5 30.11
"922" 2.69 1.77 4.46
"923" 0.46 20.83 21.29
"924" 20.43 24.29 44.71
"925" 6.73 10.05 16.77
"926" 0.69 2.81 3.5
"927" 2.24 11.56 13.8
"928" 0.65 30.47 31.12
"929" 14.17 28.75 42.92
"930" 7 10.38 17.38
"931" 7.71 6.57 14.29
"932" 1.47 13.07 14.53
"933" 0 8.14 8.14
"934" NA NA NA
"935" 1.17 18.5 19.67
"936" 3.19 10.5 13.69
"937" 5.23 18 23.23
"938" 0 15.24 15.24
"939" 1.5 4.32 5.82
"940" 0 4.59 4.59
"941" 5.23 8.82 14.05
"942" 0 16.5 16.5
